,decade,index,rank,catchphrase,count
1823,1960,15,6 - Top Tier,just_about_wrapped_up,0.0
1220,1960,15,6 - Top Tier,my_glasses,0.0
2427,1960,16,6 - Top Tier,groovy,0.0
1824,1960,16,6 - Top Tier,just_about_wrapped_up,0.0
15,1960,16,6 - Top Tier,jeepers,0.0
4236,1960,16,6 - Top Tier,rooby_rooby_roo,0.0
3633,1960,16,6 - Top Tier,scooby_doo_where_are_you,0.0
618,1960,16,6 - Top Tier,jinkies,0.0
3030,1960,16,6 - Top Tier,zoinks,3.0
1221,1960,16,6 - Top Tier,my_glasses,0.0
2428,1960,17,5 - Very High,groovy,0.0
1222,1960,17,5 - Very High,my_glasses,1.0
1825,1960,17,5 - Very High,just_about_wrapped_up,0.0
16,1960,17,5 - Very High,jeepers,0.0
619,1960,17,5 - Very High,jinkies,0.0
4237,1960,17,5 - Very High,rooby_rooby_roo,0.0
3634,1960,17,5 - Very High,scooby_doo_where_are_you,0.0
3031,1960,17,5 - Very High,zoinks,4.0
3032,1960,18,6 - Top Tier,zoinks,3.0
17,1960,18,6 - Top Tier,jeepers,0.0
1826,1960,18,6 - Top Tier,just_about_wrapped_up,0.0
3635,1960,18,6 - Top Tier,scooby_doo_where_are_you,0.0
4238,1960,18,6 - Top Tier,rooby_rooby_roo,0.0
620,1960,18,6 - Top Tier,jinkies,0.0
1223,1960,18,6 - Top Tier,my_glasses,0.0
2429,1960,18,6 - Top Tier,groovy,0.0
3636,1960,19,5 - Very High,scooby_doo_where_are_you,0.0
1224,1960,19,5 - Very High,my_glasses,0.0
621,1960,19,5 - Very High,jinkies,0.0
2430,1960,19,5 - Very High,groovy,0.0
3033,1960,19,5 - Very High,zoinks,3.0
1827,1960,19,5 - Very High,just_about_wrapped_up,0.0
4239,1960,19,5 - Very High,rooby_rooby_roo,0.0
18,1960,19,5 - Very High,jeepers,0.0
622,1960,20,5 - Very High,jinkies,0.0
3637,1960,20,5 - Very High,scooby_doo_where_are_you,0.0
1225,1960,20,5 - Very High,my_glasses,0.0
4240,1960,20,5 - Very High,rooby_rooby_roo,0.0
1828,1960,20,5 - Very High,just_about_wrapped_up,0.0
2431,1960,20,5 - Very High,groovy,0.0
3034,1960,20,5 - Very High,zoinks,7.0
19,1960,20,5 - Very High,jeepers,0.0
3035,1960,21,6 - Top Tier,zoinks,7.0
1829,1960,21,6 - Top Tier,just_about_wrapped_up,0.0
3638,1960,21,6 - Top Tier,scooby_doo_where_are_you,0.0
4241,1960,21,6 - Top Tier,rooby_rooby_roo,0.0
2432,1960,21,6 - Top Tier,groovy,0.0
1226,1960,21,6 - Top Tier,my_glasses,1.0
623,1960,21,6 - Top Tier,jinkies,0.0
20,1960,21,6 - Top Tier,jeepers,0.0
21,1960,22,6 - Top Tier,jeepers,0.0
2433,1960,22,6 - Top Tier,groovy,0.0
1227,1960,22,6 - Top Tier,my_glasses,0.0
1830,1960,22,6 - Top Tier,just_about_wrapped_up,0.0
3639,1960,22,6 - Top Tier,scooby_doo_where_are_you,0.0
624,1960,22,6 - Top Tier,jinkies,0.0
4242,1960,22,6 - Top Tier,rooby_rooby_roo,0.0
3036,1960,22,6 - Top Tier,zoinks,0.0
4243,1960,23,5 - Very High,rooby_rooby_roo,0.0
2434,1960,23,5 - Very High,groovy,0.0
1831,1960,23,5 - Very High,just_about_wrapped_up,0.0
3037,1960,23,5 - Very High,zoinks,6.0
1228,1960,23,5 - Very High,my_glasses,0.0
3640,1960,23,5 - Very High,scooby_doo_where_are_you,1.0
625,1960,23,5 - Very High,jinkies,0.0
22,1960,23,5 - Very High,jeepers,0.0
23,1960,24,5 - Very High,jeepers,0.0
3641,1960,24,5 - Very High,scooby_doo_where_are_you,0.0
4244,1960,24,5 - Very High,rooby_rooby_roo,0.0
626,1960,24,5 - Very High,jinkies,0.0
3038,1960,24,5 - Very High,zoinks,0.0
1832,1960,24,5 - Very High,just_about_wrapped_up,0.0
2435,1960,24,5 - Very High,groovy,0.0
1229,1960,24,5 - Very High,my_glasses,0.0
627,1960,25,5 - Very High,jinkies,0.0
2436,1960,25,5 - Very High,groovy,0.0
3039,1960,25,5 - Very High,zoinks,4.0
24,1960,25,5 - Very High,jeepers,0.0
1230,1960,25,5 - Very High,my_glasses,0.0
