,index,rank,catchphrase,count
133,17,5 - Very High,Rooby rooby roo!,0.0
134,17,5 - Very High,Scooby Doo! Where are you?,0.0
135,17,5 - Very High,Zoinks!,4.0
136,18,6 - Top Tier,Zoinks!,3.0
137,18,6 - Top Tier,Jeepers!,0.0
138,18,6 - Top Tier,Just about wrapped up,0.0
139,18,6 - Top Tier,Scooby Doo! Where are you?,0.0
140,18,6 - Top Tier,Rooby rooby roo!,0.0
141,18,6 - Top Tier,Jinkies!,0.0
142,18,6 - Top Tier,My glasses!,0.0
143,18,6 - Top Tier,Groovy,0.0
144,19,5 - Very High,Scooby Doo! Where are you?,0.0
145,19,5 - Very High,My glasses!,0.0
146,19,5 - Very High,Jinkies!,0.0
147,19,5 - Very High,Groovy,0.0
148,19,5 - Very High,Zoinks!,3.0
149,19,5 - Very High,Just about wrapped up,0.0
150,19,5 - Very High,Rooby rooby roo!,0.0
151,19,5 - Very High,Jeepers!,0.0
152,20,5 - Very High,Jinkies!,0.0
153,20,5 - Very High,Scooby Doo! Where are you?,0.0
154,20,5 - Very High,My glasses!,0.0
155,20,5 - Very High,Rooby rooby roo!,0.0
156,20,5 - Very High,Just about wrapped up,0.0
157,20,5 - Very High,Groovy,0.0
158,20,5 - Very High,Zoinks!,7.0
159,20,5 - Very High,Jeepers!,0.0
160,21,6 - Top Tier,Zoinks!,7.0
161,21,6 - Top Tier,Just about wrapped up,0.0
162,21,6 - Top Tier,Scooby Doo! Where are you?,0.0
163,21,6 - Top Tier,Rooby rooby roo!,0.0
164,21,6 - Top Tier,Groovy,0.0
165,21,6 - Top Tier,My glasses!,1.0
166,21,6 - Top Tier,Jinkies!,0.0
167,21,6 - Top Tier,Jeepers!,0.0
168,22,6 - Top Tier,Jeepers!,0.0
169,22,6 - Top Tier,Groovy,0.0
170,22,6 - Top Tier,My glasses!,0.0
171,22,6 - Top Tier,Just about wrapped up,0.0
172,22,6 - Top Tier,Scooby Doo! Where are you?,0.0
173,22,6 - Top Tier,Jinkies!,0.0
174,22,6 - Top Tier,Rooby rooby roo!,0.0
175,22,6 - Top Tier,Zoinks!,0.0
176,23,5 - Very High,Rooby rooby roo!,0.0
177,23,5 - Very High,Groovy,0.0
178,23,5 - Very High,Just about wrapped up,0.0
179,23,5 - Very High,Zoinks!,6.0
180,23,5 - Very High,My glasses!,0.0
181,23,5 - Very High,Scooby Doo! Where are you?,1.0
182,23,5 - Very High,Jinkies!,0.0
183,23,5 - Very High,Jeepers!,0.0
184,24,5 - Very High,Jeepers!,0.0
185,24,5 - Very High,Scooby Doo! Where are you?,0.0
186,24,5 - Very High,Rooby rooby roo!,0.0
187,24,5 - Very High,Jinkies!,0.0
188,24,5 - Very High,Zoinks!,0.0
189,24,5 - Very High,Just about wrapped up,0.0
190,24,5 - Very High,Groovy,0.0
191,24,5 - Very High,My glasses!,0.0
192,25,5 - Very High,Jinkies!,0.0
193,25,5 - Very High,Groovy,0.0
194,25,5 - Very High,Zoinks!,4.0
195,25,5 - Very High,Jeepers!,0.0
196,25,5 - Very High,My glasses!,0.0
197,25,5 - Very High,Scooby Doo! Where are you?,1.0
198,25,5 - Very High,Rooby rooby roo!,0.0
199,25,5 - Very High,Just about wrapped up,0.0
200,26,4 - High,Zoinks!,1.0
201,26,4 - High,Scooby Doo! Where are you?,1.0
202,26,4 - High,Rooby rooby roo!,0.0
203,26,4 - High,Jinkies!,0.0
204,26,4 - High,Jeepers!,0.0
205,26,4 - High,Just about wrapped up,0.0
206,26,4 - High,Groovy,0.0
207,26,4 - High,My glasses!,0.0
208,27,5 - Very High,Scooby Doo! Where are you?,3.0
209,27,5 - Very High,My glasses!,1.0
210,27,5 - Very High,Zoinks!,3.0
211,27,5 - Very High,Jinkies!,0.0
212,27,5 - Very High,Jeepers!,0.0
213,27,5 - Very High,Rooby rooby roo!,3.0
214,27,5 - Very High,Just about wrapped up,0.0
215,27,5 - Very High,Groovy,0.0
216,28,5 - Very High,Jinkies!,0.0
